id,title,text,keywords,category,intent
23,Remote Work Policy,Employees may work from home according to the company's remote work policy.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
24,Annual Leave,Staff members are entitled to 20 paid vacation days each year.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
25,Machine Learning,Machine learning systems identify useful patterns in data to make predictions.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
26,Python,Python is widely used to build applications and analyze data.,"Python, programming, data science, machine learning, software",Programming,python
27,Health Insurance,The company provides health insurance coverage to eligible employees.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
28,Work From Home,Staff members can work from home when permitted by company policy.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
29,Deep Learning,Deep learning models use layered neural networks to understand complex data.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
30,Employee Benefits,"The company offers employees benefits such as insurance, paid leave and retirement support.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
31,Phishing Protection,Phishing protection helps users identify fraudulent messages and unsafe links.,"phishing, email, security, fraud, links",Security,phishing
32,SQL,Developers use SQL to retrieve and manipulate data in database tables.,"SQL, database, query, data, tables",Programming,sql
33,Data Science,Data scientists analyze information to discover useful insights and patterns.,"data science, analysis, statistics, machine learning, data",AI/ML,data_science
34,Sick Leave,Sick leave allows employees to take time away from work when they are unwell.,"sick leave, illness, leave, employees, absence",HR,sick_leave
35,Data Privacy,Data privacy practices help protect sensitive personal information.,"privacy, personal data, security, information, compliance",Security,data_privacy
36,Cloud Computing,"Organizations can use cloud platforms for storage, applications and computing.","cloud, servers, storage, computing, technology",Technology,cloud_computing
37,API,Applications can exchange data and functionality through APIs.,"API, software, integration, applications, requests",Technology,api
38,Natural Language Processing,NLP techniques can analyze and understand text written in natural language.,"NLP, language, text, AI, natural language",AI/ML,nlp
39,Semantic Search,A semantic search system finds relevant documents by understanding the meaning of a query.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
40,Customer Support,Customer support teams assist users with questions and service issues.,"customer support, help, service, customers, tickets",Business,customer_support
41,Password Reset,A forgotten password can be reset through the account recovery process.,"password, reset, recovery, account, login",IT,password_recovery
42,Account Recovery,Users can regain access to an account through email verification.,"account recovery, email verification, account access, registered email",IT,account_recovery
43,Remote Work Policy,The company permits employees to work remotely under its flexible work policy.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
44,Annual Leave,The company provides employees with 20 days of annual paid leave.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
45,Machine Learning,Computers can learn from examples and improve predictions using machine learning.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
46,Python,Data scientists commonly use Python for machine learning projects.,"Python, programming, data science, machine learning, software",Programming,python
47,Health Insurance,Eligible staff members can receive medical insurance benefits through the company.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
48,Work From Home,The organization supports working from home under its flexible work rules.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
49,Deep Learning,Neural networks with many layers can learn sophisticated patterns through deep learning.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
50,Employee Benefits,"Employee benefits include healthcare coverage, leave and retirement programs.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
51,Phishing Protection,Security awareness can help employees recognize phishing attempts.,"phishing, email, security, fraud, links",Security,phishing
52,SQL,Database queries can be written in SQL to find relevant records.,"SQL, database, query, data, tables",Programming,sql
53,Data Science,Data science uses computational and statistical methods to understand data.,"data science, analysis, statistics, machine learning, data",AI/ML,data_science
54,Sick Leave,Staff members should follow the leave process when taking sick days.,"sick leave, illness, leave, employees, absence",HR,sick_leave
55,Data Privacy,Personal data should be handled securely according to privacy requirements.,"privacy, personal data, security, information, compliance",Security,data_privacy
56,Cloud Computing,Cloud services allow businesses to access computing resources without managing all physical infrastructure.,"cloud, servers, storage, computing, technology",Technology,cloud_computing
57,API,APIs provide defined interfaces for software integration and communication.,"API, software, integration, applications, requests",Technology,api
58,Natural Language Processing,Natural language processing is used for tasks such as text classification and search.,"NLP, language, text, AI, natural language",AI/ML,nlp
59,Semantic Search,Semantic similarity can help search systems retrieve conceptually related documents.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
60,Customer Support,Support representatives help customers resolve problems and answer questions.,"customer support, help, service, customers, tickets",Business,customer_support
61,Password Reset,Users can regain account access by creating a new password.,"password, reset, recovery, account, login",IT,password_recovery
62,Account Recovery,The account recovery process requires verification of the registered email.,"account recovery, email verification, account access, registered email",IT,account_recovery
63,Remote Work Policy,Staff members can perform their duties remotely within the monthly limit.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
64,Annual Leave,Employees can take up to 20 paid leave days during the year.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
65,Machine Learning,Machine learning enables software to discover patterns without explicit programming.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
66,Python,Python provides a flexible programming environment for data analysis.,"Python, programming, data science, machine learning, software",Programming,python
67,Health Insurance,Employees may access company-sponsored healthcare coverage.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
68,Work From Home,Employees can perform their responsibilities from home under the remote work arrangement.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
69,Deep Learning,Deep learning applies multiple neural network layers to extract complex representations.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
70,Employee Benefits,Staff members can receive several benefits through the company's employee benefits program.,"employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
71,Phishing Protection,"Generally, employees should avoid suspicious links in unexpected emails to reduce phishing risks.","phishing, email, security, fraud, links",Security,phishing
72,SQL,"Generally, sQL is used to query and manage information stored in relational databases.","SQL, database, query, data, tables",Programming,sql
73,Data Science,"Generally, data science combines data analysis, statistics and machine learning to solve problems.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
74,Sick Leave,"Generally, employees can request sick leave when they are unable to work because of illness.","sick leave, illness, leave, employees, absence",HR,sick_leave
75,Data Privacy,"Generally, organizations should protect personal information from unauthorized access.","privacy, personal data, security, information, compliance",Security,data_privacy
76,Cloud Computing,"Generally, cloud computing provides computing resources through internet-based services.","cloud, servers, storage, computing, technology",Technology,cloud_computing
77,API,"Generally, an API allows different software applications to communicate with each other.","API, software, integration, applications, requests",Technology,api
78,Natural Language Processing,"Generally, natural language processing enables computers to work with human language.","NLP, language, text, AI, natural language",AI/ML,nlp
79,Semantic Search,"Generally, semantic search retrieves documents based on meaning rather than exact keyword matches.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
80,Customer Support,"Generally, customers can contact support when they need help with a product or service.","customer support, help, service, customers, tickets",Business,customer_support
81,Password Reset,The password recovery page allows users to set a new account password.,"password, reset, recovery, account, login",IT,password_recovery
82,Account Recovery,A registered email address can be used to recover a user account.,"account recovery, email verification, account access, registered email",IT,account_recovery
83,Remote Work Policy,Employees can use the company's remote working arrangement each month.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
84,Annual Leave,Each employee receives an annual allowance of 20 paid leave days.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
85,Machine Learning,Algorithms can learn relationships in data and use them for future predictions.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
86,Python,Many machine learning developers use Python to build intelligent applications.,"Python, programming, data science, machine learning, software",Programming,python
87,Health Insurance,Health insurance is included among the benefits available to eligible employees.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
88,Work From Home,The work from home option allows eligible employees to work outside the office.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
89,Deep Learning,Layered neural networks are commonly used to solve complex learning problems.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
90,Employee Benefits,"The organization's benefits package includes insurance, leave and retirement-related benefits.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
91,Phishing Protection,"Generally, phishing protection helps users identify fraudulent messages and unsafe links.","phishing, email, security, fraud, links",Security,phishing
92,SQL,"Generally, developers use SQL to retrieve and manipulate data in database tables.","SQL, database, query, data, tables",Programming,sql
93,Data Science,"Generally, data scientists analyze information to discover useful insights and patterns.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
94,Sick Leave,"Generally, sick leave allows employees to take time away from work when they are unwell.","sick leave, illness, leave, employees, absence",HR,sick_leave
95,Data Privacy,"Generally, data privacy practices help protect sensitive personal information.","privacy, personal data, security, information, compliance",Security,data_privacy
96,Cloud Computing,"Generally, organizations can use cloud platforms for storage, applications and computing.","cloud, servers, storage, computing, technology",Technology,cloud_computing
97,API,"Generally, applications can exchange data and functionality through APIs.","API, software, integration, applications, requests",Technology,api
98,Natural Language Processing,"Generally, nLP techniques can analyze and understand text written in natural language.","NLP, language, text, AI, natural language",AI/ML,nlp
99,Semantic Search,"Generally, a semantic search system finds relevant documents by understanding the meaning of a query.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
100,Customer Support,"Generally, customer support teams assist users with questions and service issues.","customer support, help, service, customers, tickets",Business,customer_support
101,Password Reset,"Generally, users can reset their account password through the password recovery page.","password, reset, recovery, account, login",IT,password_recovery
102,Account Recovery,"Generally, users can recover their account by verifying their registered email address.","account recovery, email verification, account access, registered email",IT,account_recovery
103,Remote Work Policy,"Generally, employees are allowed to work remotely for up to 10 days per month.","remote work, work from home, employees, policy, flexible work",HR,remote_work
104,Annual Leave,"Generally, employees receive 20 days of paid annual leave every year.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
105,Machine Learning,"Generally, machine learning allows computers to learn patterns from data.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
106,Python,"Generally, python is a popular programming language used for data science and machine learning.","Python, programming, data science, machine learning, software",Programming,python
107,Health Insurance,"Generally, employees are eligible for company health insurance benefits.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
108,Work From Home,"Generally, employees may work from home according to the company's remote work policy.","work from home, remote work, employees, home office, flexible work",HR,remote_work
109,Deep Learning,"Generally, deep learning uses neural networks with multiple layers to learn complex patterns.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
110,Employee Benefits,"Generally, employees receive various benefits including insurance, leave and retirement benefits.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
111,Phishing Protection,"Generally, security awareness can help employees recognize phishing attempts.","phishing, email, security, fraud, links",Security,phishing
112,SQL,"Generally, database queries can be written in SQL to find relevant records.","SQL, database, query, data, tables",Programming,sql
113,Data Science,"Generally, data science uses computational and statistical methods to understand data.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
114,Sick Leave,"Generally, staff members should follow the leave process when taking sick days.","sick leave, illness, leave, employees, absence",HR,sick_leave
115,Data Privacy,"Generally, personal data should be handled securely according to privacy requirements.","privacy, personal data, security, information, compliance",Security,data_privacy
116,Cloud Computing,"Generally, cloud services allow businesses to access computing resources without managing all physical infrastructure.","cloud, servers, storage, computing, technology",Technology,cloud_computing
117,API,"Generally, aPIs provide defined interfaces for software integration and communication.","API, software, integration, applications, requests",Technology,api
118,Natural Language Processing,"Generally, natural language processing is used for tasks such as text classification and search.","NLP, language, text, AI, natural language",AI/ML,nlp
119,Semantic Search,"Generally, semantic similarity can help search systems retrieve conceptually related documents.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
120,Customer Support,"Generally, support representatives help customers resolve problems and answer questions.","customer support, help, service, customers, tickets",Business,customer_support
121,Password Reset,"Generally, users can change a forgotten password using the account recovery option.","password, reset, recovery, account, login",IT,password_recovery
122,Account Recovery,"Generally, account access can be restored after the registered email is verified.","account recovery, email verification, account access, registered email",IT,account_recovery
123,Remote Work Policy,"Generally, employees may work from home according to the company's remote work policy.","remote work, work from home, employees, policy, flexible work",HR,remote_work
124,Annual Leave,"Generally, staff members are entitled to 20 paid vacation days each year.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
125,Machine Learning,"Generally, machine learning systems identify useful patterns in data to make predictions.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
126,Python,"Generally, python is widely used to build applications and analyze data.","Python, programming, data science, machine learning, software",Programming,python
127,Health Insurance,"Generally, the company provides health insurance coverage to eligible employees.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
128,Work From Home,"Generally, staff members can work from home when permitted by company policy.","work from home, remote work, employees, home office, flexible work",HR,remote_work
129,Deep Learning,"Generally, deep learning models use layered neural networks to understand complex data.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
130,Employee Benefits,"Generally, the company offers employees benefits such as insurance, paid leave and retirement support.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
131,Phishing Protection,"According to the policy, employees should avoid suspicious links in unexpected emails to reduce phishing risks.","phishing, email, security, fraud, links",Security,phishing
132,SQL,"According to the policy, sQL is used to query and manage information stored in relational databases.","SQL, database, query, data, tables",Programming,sql
133,Data Science,"According to the policy, data science combines data analysis, statistics and machine learning to solve problems.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
134,Sick Leave,"According to the policy, employees can request sick leave when they are unable to work because of illness.","sick leave, illness, leave, employees, absence",HR,sick_leave
135,Data Privacy,"According to the policy, organizations should protect personal information from unauthorized access.","privacy, personal data, security, information, compliance",Security,data_privacy
136,Cloud Computing,"According to the policy, cloud computing provides computing resources through internet-based services.","cloud, servers, storage, computing, technology",Technology,cloud_computing
137,API,"According to the policy, an API allows different software applications to communicate with each other.","API, software, integration, applications, requests",Technology,api
138,Natural Language Processing,"According to the policy, natural language processing enables computers to work with human language.","NLP, language, text, AI, natural language",AI/ML,nlp
139,Semantic Search,"According to the policy, semantic search retrieves documents based on meaning rather than exact keyword matches.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
140,Customer Support,"According to the policy, customers can contact support when they need help with a product or service.","customer support, help, service, customers, tickets",Business,customer_support
141,Password Reset,"Generally, a forgotten password can be reset through the account recovery process.","password, reset, recovery, account, login",IT,password_recovery
142,Account Recovery,"Generally, users can regain access to an account through email verification.","account recovery, email verification, account access, registered email",IT,account_recovery
143,Remote Work Policy,"Generally, the company permits employees to work remotely under its flexible work policy.","remote work, work from home, employees, policy, flexible work",HR,remote_work
144,Annual Leave,"Generally, the company provides employees with 20 days of annual paid leave.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
145,Machine Learning,"Generally, computers can learn from examples and improve predictions using machine learning.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
146,Python,"Generally, data scientists commonly use Python for machine learning projects.","Python, programming, data science, machine learning, software",Programming,python
147,Health Insurance,"Generally, eligible staff members can receive medical insurance benefits through the company.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
148,Work From Home,"Generally, the organization supports working from home under its flexible work rules.","work from home, remote work, employees, home office, flexible work",HR,remote_work
149,Deep Learning,"Generally, neural networks with many layers can learn sophisticated patterns through deep learning.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
150,Employee Benefits,"Generally, employee benefits include healthcare coverage, leave and retirement programs.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
151,Phishing Protection,"According to the policy, phishing protection helps users identify fraudulent messages and unsafe links.","phishing, email, security, fraud, links",Security,phishing
152,SQL,"According to the policy, developers use SQL to retrieve and manipulate data in database tables.","SQL, database, query, data, tables",Programming,sql
153,Data Science,"According to the policy, data scientists analyze information to discover useful insights and patterns.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
154,Sick Leave,"According to the policy, sick leave allows employees to take time away from work when they are unwell.","sick leave, illness, leave, employees, absence",HR,sick_leave
155,Data Privacy,"According to the policy, data privacy practices help protect sensitive personal information.","privacy, personal data, security, information, compliance",Security,data_privacy
156,Cloud Computing,"According to the policy, organizations can use cloud platforms for storage, applications and computing.","cloud, servers, storage, computing, technology",Technology,cloud_computing
157,API,"According to the policy, applications can exchange data and functionality through APIs.","API, software, integration, applications, requests",Technology,api
158,Natural Language Processing,"According to the policy, nLP techniques can analyze and understand text written in natural language.","NLP, language, text, AI, natural language",AI/ML,nlp
159,Semantic Search,"According to the policy, a semantic search system finds relevant documents by understanding the meaning of a query.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
160,Customer Support,"According to the policy, customer support teams assist users with questions and service issues.","customer support, help, service, customers, tickets",Business,customer_support
161,Password Reset,"Generally, users can regain account access by creating a new password.","password, reset, recovery, account, login",IT,password_recovery
162,Account Recovery,"Generally, the account recovery process requires verification of the registered email.","account recovery, email verification, account access, registered email",IT,account_recovery
163,Remote Work Policy,"Generally, staff members can perform their duties remotely within the monthly limit.","remote work, work from home, employees, policy, flexible work",HR,remote_work
164,Annual Leave,"Generally, employees can take up to 20 paid leave days during the year.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
165,Machine Learning,"Generally, machine learning enables software to discover patterns without explicit programming.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
166,Python,"Generally, python provides a flexible programming environment for data analysis.","Python, programming, data science, machine learning, software",Programming,python
167,Health Insurance,"Generally, employees may access company-sponsored healthcare coverage.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
168,Work From Home,"Generally, employees can perform their responsibilities from home under the remote work arrangement.","work from home, remote work, employees, home office, flexible work",HR,remote_work
169,Deep Learning,"Generally, deep learning applies multiple neural network layers to extract complex representations.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
170,Employee Benefits,"Generally, staff members can receive several benefits through the company's employee benefits program.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
171,Phishing Protection,"According to the policy, security awareness can help employees recognize phishing attempts.","phishing, email, security, fraud, links",Security,phishing
172,SQL,"According to the policy, database queries can be written in SQL to find relevant records.","SQL, database, query, data, tables",Programming,sql
173,Data Science,"According to the policy, data science uses computational and statistical methods to understand data.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
174,Sick Leave,"According to the policy, staff members should follow the leave process when taking sick days.","sick leave, illness, leave, employees, absence",HR,sick_leave
175,Data Privacy,"According to the policy, personal data should be handled securely according to privacy requirements.","privacy, personal data, security, information, compliance",Security,data_privacy
176,Cloud Computing,"According to the policy, cloud services allow businesses to access computing resources without managing all physical infrastructure.","cloud, servers, storage, computing, technology",Technology,cloud_computing
177,API,"According to the policy, aPIs provide defined interfaces for software integration and communication.","API, software, integration, applications, requests",Technology,api
178,Natural Language Processing,"According to the policy, natural language processing is used for tasks such as text classification and search.","NLP, language, text, AI, natural language",AI/ML,nlp
179,Semantic Search,"According to the policy, semantic similarity can help search systems retrieve conceptually related documents.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
180,Customer Support,"According to the policy, support representatives help customers resolve problems and answer questions.","customer support, help, service, customers, tickets",Business,customer_support
181,Password Reset,"Generally, the password recovery page allows users to set a new account password.","password, reset, recovery, account, login",IT,password_recovery
182,Account Recovery,"Generally, a registered email address can be used to recover a user account.","account recovery, email verification, account access, registered email",IT,account_recovery
183,Remote Work Policy,"Generally, employees can use the company's remote working arrangement each month.","remote work, work from home, employees, policy, flexible work",HR,remote_work
184,Annual Leave,"Generally, each employee receives an annual allowance of 20 paid leave days.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
185,Machine Learning,"Generally, algorithms can learn relationships in data and use them for future predictions.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
186,Python,"Generally, many machine learning developers use Python to build intelligent applications.","Python, programming, data science, machine learning, software",Programming,python
187,Health Insurance,"Generally, health insurance is included among the benefits available to eligible employees.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
188,Work From Home,"Generally, the work from home option allows eligible employees to work outside the office.","work from home, remote work, employees, home office, flexible work",HR,remote_work
189,Deep Learning,"Generally, layered neural networks are commonly used to solve complex learning problems.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
190,Employee Benefits,"Generally, the organization's benefits package includes insurance, leave and retirement-related benefits.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
191,Phishing Protection,"In the organization, employees should avoid suspicious links in unexpected emails to reduce phishing risks.","phishing, email, security, fraud, links",Security,phishing
192,SQL,"In the organization, sQL is used to query and manage information stored in relational databases.","SQL, database, query, data, tables",Programming,sql
193,Data Science,"In the organization, data science combines data analysis, statistics and machine learning to solve problems.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
194,Sick Leave,"In the organization, employees can request sick leave when they are unable to work because of illness.","sick leave, illness, leave, employees, absence",HR,sick_leave
195,Data Privacy,"In the organization, organizations should protect personal information from unauthorized access.","privacy, personal data, security, information, compliance",Security,data_privacy
196,Cloud Computing,"In the organization, cloud computing provides computing resources through internet-based services.","cloud, servers, storage, computing, technology",Technology,cloud_computing
197,API,"In the organization, an API allows different software applications to communicate with each other.","API, software, integration, applications, requests",Technology,api
198,Natural Language Processing,"In the organization, natural language processing enables computers to work with human language.","NLP, language, text, AI, natural language",AI/ML,nlp
199,Semantic Search,"In the organization, semantic search retrieves documents based on meaning rather than exact keyword matches.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
200,Customer Support,"In the organization, customers can contact support when they need help with a product or service.","customer support, help, service, customers, tickets",Business,customer_support
201,Password Reset,"According to the policy, users can reset their account password through the password recovery page.","password, reset, recovery, account, login",IT,password_recovery
202,Account Recovery,"According to the policy, users can recover their account by verifying their registered email address.","account recovery, email verification, account access, registered email",IT,account_recovery
203,Remote Work Policy,"According to the policy, employees are allowed to work remotely for up to 10 days per month.","remote work, work from home, employees, policy, flexible work",HR,remote_work
204,Annual Leave,"According to the policy, employees receive 20 days of paid annual leave every year.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
205,Machine Learning,"According to the policy, machine learning allows computers to learn patterns from data.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
206,Python,"According to the policy, python is a popular programming language used for data science and machine learning.","Python, programming, data science, machine learning, software",Programming,python
207,Health Insurance,"According to the policy, employees are eligible for company health insurance benefits.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
208,Work From Home,"According to the policy, employees may work from home according to the company's remote work policy.","work from home, remote work, employees, home office, flexible work",HR,remote_work
209,Deep Learning,"According to the policy, deep learning uses neural networks with multiple layers to learn complex patterns.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
210,Employee Benefits,"According to the policy, employees receive various benefits including insurance, leave and retirement benefits.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
211,Phishing Protection,"In the organization, phishing protection helps users identify fraudulent messages and unsafe links.","phishing, email, security, fraud, links",Security,phishing
212,SQL,"In the organization, developers use SQL to retrieve and manipulate data in database tables.","SQL, database, query, data, tables",Programming,sql
213,Data Science,"In the organization, data scientists analyze information to discover useful insights and patterns.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
214,Sick Leave,"In the organization, sick leave allows employees to take time away from work when they are unwell.","sick leave, illness, leave, employees, absence",HR,sick_leave
215,Data Privacy,"In the organization, data privacy practices help protect sensitive personal information.","privacy, personal data, security, information, compliance",Security,data_privacy
216,Cloud Computing,"In the organization, organizations can use cloud platforms for storage, applications and computing.","cloud, servers, storage, computing, technology",Technology,cloud_computing
217,API,"In the organization, applications can exchange data and functionality through APIs.","API, software, integration, applications, requests",Technology,api
218,Natural Language Processing,"In the organization, nLP techniques can analyze and understand text written in natural language.","NLP, language, text, AI, natural language",AI/ML,nlp
219,Semantic Search,"In the organization, a semantic search system finds relevant documents by understanding the meaning of a query.","semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
220,Customer Support,"In the organization, customer support teams assist users with questions and service issues.","customer support, help, service, customers, tickets",Business,customer_support
221,Password Reset,"According to the policy, users can change a forgotten password using the account recovery option.","password, reset, recovery, account, login",IT,password_recovery
222,Account Recovery,"According to the policy, account access can be restored after the registered email is verified.","account recovery, email verification, account access, registered email",IT,account_recovery
223,Remote Work Policy,"According to the policy, employees may work from home according to the company's remote work policy.","remote work, work from home, employees, policy, flexible work",HR,remote_work
224,Annual Leave,"According to the policy, staff members are entitled to 20 paid vacation days each year.","annual leave, paid leave, vacation, employees, time off",HR,annual_leave
225,Machine Learning,"According to the policy, machine learning systems identify useful patterns in data to make predictions.","machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
226,Python,"According to the policy, python is widely used to build applications and analyze data.","Python, programming, data science, machine learning, software",Programming,python
227,Health Insurance,"According to the policy, the company provides health insurance coverage to eligible employees.","health insurance, employees, medical, benefits, coverage",HR,health_insurance
228,Work From Home,"According to the policy, staff members can work from home when permitted by company policy.","work from home, remote work, employees, home office, flexible work",HR,remote_work
229,Deep Learning,"According to the policy, deep learning models use layered neural networks to understand complex data.","deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
230,Employee Benefits,"According to the policy, the company offers employees benefits such as insurance, paid leave and retirement support.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
231,Phishing Protection,"In the organization, security awareness can help employees recognize phishing attempts.","phishing, email, security, fraud, links",Security,phishing
232,SQL,"In the organization, database queries can be written in SQL to find relevant records.","SQL, database, query, data, tables",Programming,sql
233,Data Science,"In the organization, data science uses computational and statistical methods to understand data.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
234,Sick Leave,"In the organization, staff members should follow the leave process when taking sick days.","sick leave, illness, leave, employees, absence",HR,sick_leave
235,Data Privacy,"In the organization, personal data should be handled securely according to privacy requirements.","privacy, personal data, security, information, compliance",Security,data_privacy
236,Cloud Computing,"In the organization, cloud services allow businesses to access computing resources without managing all physical infrastructure.","cloud, servers, storage, computing, technology",Technology,cloud_computing
